9355: Flags [P.], seq 15041528:15041876, ack 8929, win 501, length 348
20:22:31.327235 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15043916:15044120, ack 8929, win 501, length 204
20:22:31.327299 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15044120:15044324, ack 8929, win 501, length 204
20:22:31.327355 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15044324:15044528, ack 8929, win 501, length 204
20:22:31.327412 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15044528:15044732, ack 8929, win 501, length 204
20:22:31.327471 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15044732:15044936, ack 8929, win 501, length 204
20:22:31.327527 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15044936:15045140, ack 8929, win 501, length 204
20:22:31.327584 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15045140:15045344, ack 8929, win 501, length 204
20:22:31.327621 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15034916, win 516, length 0
20:22:31.327655 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15037100, win 516, length 0
20:22:31.327686 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15045344:15045692, ack 8929, win 501, length 348
20:22:31.327755 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15045692:15046040, ack 8929, win 501, length 348
20:22:31.327811 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15046040:15046244, ack 8929, win 501, length 204
20:22:31.327867 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15046244:15046448, ack 8929, win 501, length 204
20:22:31.327925 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15046448:15046652, ack 8929, win 501, length 204
20:22:31.327979 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15046652:15046856, ack 8929, win 501, length 204
20:22:31.328044 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15046856:15047060, ack 8929, win 501, length 204
20:22:31.328100 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15047060:15047264, ack 8929, win 501, length 204
20:22:31.328157 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15047264:15047468, ack 8929, win 501, length 204
20:22:31.328215 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15047468:15047672, ack 8929, win 501, length 204
20:22:31.328253 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15038732, win 516, length 0
20:22:31.328299 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15047672:15048020, ack 8929, win 501, length 348
20:22:31.328359 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15048020:15048224, ack 8929, win 501, length 204
20:22:31.328418 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15048224:15048428, ack 8929, win 501, length 204
20:22:31.328473 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15048428:15048632, ack 8929, win 501, length 204
20:22:31.328528 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15048632:15048836, ack 8929, win 501, length 204
20:22:31.328585 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15048836:15049040, ack 8929, win 501, length 204
20:22:31.328639 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15049040:15049244, ack 8929, win 501, length 204
20:22:31.328694 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15049244:15049448, ack 8929, win 501, length 204
20:22:31.328768 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15049448:15049652, ack 8929, win 501, length 204
20:22:31.328830 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15049652:15049856, ack 8929, win 501, length 204
20:22:31.328875 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15039692, win 512, length 0
20:22:31.328904 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15049856:15050060, ack 8929, win 501, length 204
20:22:31.328973 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15050060:15050408, ack 8929, win 501, length 348
20:22:31.329029 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15050408:15050612, ack 8929, win 501, length 204
20:22:31.329083 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15050612:15050816, ack 8929, win 501, length 204
20:22:31.329139 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15050816:15051020, ack 8929, win 501, length 204
20:22:31.329197 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15051020:15051224, ack 8929, win 501, length 204
20:22:31.329257 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15051224:15051428, ack 8929, win 501, length 204
20:22:31.329316 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15051428:15051632, ack 8929, win 501, length 204
20:22:31.329371 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15051632:15051836, ack 8929, win 501, length 204
20:22:31.329434 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15051836:15052040, ack 8929, win 501, length 204
20:22:31.329495 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15040712, win 516, length 0
20:22:31.329502 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15052040:15052244, ack 8929, win 501, length 204
20:22:31.329569 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15052244:15052592, ack 8929, win 501, length 348
20:22:31.329627 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15052592:15052796, ack 8929, win 501, length 204
20:22:31.329682 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15052796:15053000, ack 8929, win 501, length 204
20:22:31.329738 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15053000:15053204, ack 8929, win 501, length 204
20:22:31.329797 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15053204:15053408, ack 8929, win 501, length 204
20:22:31.329852 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15053408:15053612, ack 8929, win 501, length 204
20:22:31.329901 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15043712, win 516, length 0
20:22:31.329901 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15045344, win 516, length 0
20:22:31.329966 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15053612:15054112, ack 8929, win 501, length 500
20:22:31.330025 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15054112:15054316, ack 8929, win 501, length 204
20:22:31.330082 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15054316:15054520, ack 8929, win 501, length 204
20:22:31.330140 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15054520:15054724, ack 8929, win 501, length 204
20:22:31.330194 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15054724:15054928, ack 8929, win 501, length 204
20:22:31.330251 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15054928:15055132, ack 8929, win 501, length 204
20:22:31.330307 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15055132:15055336, ack 8929, win 501, length 204
20:22:31.330364 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15055336:15055540, ack 8929, win 501, length 204
20:22:31.330418 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15055540:15055744, ack 8929, win 501, length 204
20:22:31.330473 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15055744:15055948, ack 8929, win 501, length 204
20:22:31.330528 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15055948:15056152, ack 8929, win 501, length 204
20:22:31.330586 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15056152:15056356, ack 8929, win 501, length 204
20:22:31.330630 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15047264, win 516, length 0
20:22:31.330658 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15056356:15056560, ack 8929, win 501, length 204
20:22:31.330738 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15056560:15056908, ack 8929, win 501, length 348
20:22:31.330797 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15056908:15057112, ack 8929, win 501, length 204
20:22:31.330855 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15057112:15057316, ack 8929, win 501, length 204
20:22:31.330911 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15057316:15057520, ack 8929, win 501, length 204
20:22:31.330966 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15057520:15057724, ack 8929, win 501, length 204
20:22:31.331006 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15049244, win 516, length 0
20:22:31.331050 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15057724:15058072, ack 8929, win 501, length 348
20:22:31.331109 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15058072:15058276, ack 8929, win 501, length 204
20:22:31.331165 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15058276:15058480, ack 8929, win 501, length 204
20:22:31.331230 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15058480:15058684, ack 8929, win 501, length 204
20:22:31.331304 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15058684:15058888, ack 8929, win 501, length 204
20:22:31.331370 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15058888:15059092, ack 8929, win 501, length 204
20:22:31.331449 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15059092:15059296, ack 8929, win 501, length 204
20:22:31.331511 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15059296:15059500, ack 8929, win 501, length 204
20:22:31.331569 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15059500:15059704, ack 8929, win 501, length 204
20:22:31.331625 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15059704:15059908, ack 8929, win 501, length 204
20:22:31.331679 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15059908:15060112, ack 8929, win 501, length 204
20:22:31.331739 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15060112:15060316, ack 8929, win 501, length 204
20:22:31.331753 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15051224, win 516, length 0
20:22:31.331823 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15060316:15060664, ack 8929, win 501, length 348
20:22:31.331881 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15060664:15060868, ack 8929, win 501, length 204
20:22:31.331937 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15060868:15061072, ack 8929, win 501, length 204
20:22:31.332021 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15061072:15061276, ack 8929, win 501, length 204
20:22:31.332098 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15061276:15061480, ack 8929, win 501, length 204
20:22:31.332169 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15061480:15061684, ack 8929, win 501, length 204
20:22:31.332247 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15061684:15061888, ack 8929, win 501, length 204
20:22:31.332310 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15061888:15062092, ack 8929, win 501, length 204
20:22:31.332368 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15062092:15062296, ack 8929, win 501, length 204
20:22:31.332424 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15062296:15062500, ack 8929, win 501, length 204
20:22:31.332479 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15062500:15062704, ack 8929, win 501, length 204
20:22:31.332537 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15062704:15062908, ack 8929, win 501, length 204
20:22:31.332594 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15062908:15063112, ack 8929, win 501, length 204
20:22:31.332649 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15063112:15063316, ack 8929, win 501, length 204
20:22:31.332704 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15063316:15063520, ack 8929, win 501, length 204
20:22:31.332762 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15063520:15063724, ack 8929, win 501, length 204
20:22:31.332846 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15063724:15063928, ack 8929, win 501, length 204
20:22:31.332874 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15053612, win 516, length 0
20:22:31.332957 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15063928:15064276, ack 8929, win 501, length 348
20:22:31.333017 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15064276:15064480, ack 8929, win 501, length 204
20:22:31.333075 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15064480:15064684, ack 8929, win 501, length 204
20:22:31.333132 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15064684:15064888, ack 8929, win 501, length 204
20:22:31.333189 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15064888:15065092, ack 8929, win 501, length 204
20:22:31.333244 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15065092:15065296, ack 8929, win 501, length 204
20:22:31.333299 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15065296:15065500, ack 8929, win 501, length 204
20:22:31.333356 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15065500:15065704, ack 8929, win 501, length 204
20:22:31.333412 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15065704:15065908, ack 8929, win 501, length 204
20:22:31.333468 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15065908:15066112, ack 8929, win 501, length 204
20:22:31.333497 IP bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355 > 165.22.238.61.ssh: Flags [.], ack 15057724, win 516, length 0
20:22:31.333553 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15066112:15066460, ack 8929, win 501, length 348
20:22:31.333614 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15066460:15066664, ack 8929, win 501, length 204
20:22:31.333673 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15066664:15066868, ack 8929, win 501, length 204
20:22:31.333732 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15066868:15067072, ack 8929, win 501, length 204
20:22:31.333787 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15067072:15067276, ack 8929, win 501, length 204
20:22:31.333843 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15067276:15067480, ack 8929, win 501, length 204
20:22:31.333915 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15067480:15067684, ack 8929, win 501, length 204
20:22:31.333971 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15067684:15067888, ack 8929, win 501, length 204
20:22:31.334027 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15067888:15068092, ack 8929, win 501, length 204
20:22:31.334086 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15068092:15068296, ack 8929, win 501, length 204
20:22:31.334151 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15068296:15068500, ack 8929, win 501, length 204
20:22:31.334207 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15068500:15068704, ack 8929, win 501, length 204
20:22:31.334262 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15068704:15068908, ack 8929, win 501, length 204
20:22:31.334338 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15068908:15069112, ack 8929, win 501, length 204
20:22:31.334429 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15069112:15069316, ack 8929, win 501, length 204
20:22:31.334495 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15069316:15069520, ack 8929, win 501, length 204
20:22:31.334552 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15069520:15069724, ack 8929, win 501, length 204
20:22:31.334609 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15069724:15069928, ack 8929, win 501, length 204
20:22:31.334666 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15069928:15070132, ack 8929, win 501, length 204
20:22:31.334737 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15070132:15070336, ack 8929, win 501, length 204
20:22:31.334795 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15070336:15070540, ack 8929, win 501, length 204
20:22:31.334850 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15070540:15070744, ack 8929, win 501, length 204
20:22:31.334905 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15070744:15070948, ack 8929, win 501, length 204
20:22:31.334960 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15070948:15071152, ack 8929, win 501, length 204
20:22:31.335019 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15071152:15071356, ack 8929, win 501, length 204
20:22:31.335076 IP 165.22.238.61.ssh > bras-base-toroon0411w-grc-31-174-89-217-113.dsl.bell.ca.49355: Flags [P.], seq 15071356:15071560, ack 8929, win 501, length 204
